Date : 2023-06-08 23:58:15
Directory : c:\xampp\htdocs\Blockimino
Total : 941 files,  121644 codes, 29295 comments, 8682 blanks, all 159621 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Variables\double.js                                                 | JavaScript |         77 |          2 |         24 |        103 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Variables\double_value.js                                           | JavaScript |         16 |          0 |          3 |         19 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Variables\float.js                                                  | JavaScript |         77 |          2 |         25 |        104 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Variables\float_value.js                                            | JavaScript |         16 |          0 |          3 |         19 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Variables\int.js                                                    | JavaScript |         77 |          2 |         24 |        103 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Variables\int_value.js                                              | JavaScript |         16 |          0 |          2 |         18 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Variables\long.js                                                   | JavaScript |         77 |          2 |         24 |        103 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Variables\long_value.js                                             | JavaScript |         16 |          0 |          3 |         19 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Variables\short.js                                                  | JavaScript |         77 |          2 |         24 |        103 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Variables\short_value.js                                            | JavaScript |         16 |          0 |          4 |         20 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Variables\string.js                                                 | JavaScript |         77 |          2 |         24 |        103 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Variables\string_value.js                                           | JavaScript |         17 |          0 |          3 |         20 |
| c:\xampp\htdocs\Blockimino\EasyVersion\Bloques\Variables\variables.js                                              | JavaScript |        645 |         90 |         97 |        832 |
| c:\xampp\htdocs\Blockimino\EasyVersion\EasyVersionBlockArena.php                                                   | PHP        |        521 |         25 |         46 |        592 |
| c:\xampp\htdocs\Blockimino\EasyVersion\scripts.js                                                                  | JavaScript |        277 |         27 |        103 |        407 |
| c:\xampp\htdocs\Blockimino\Libraries\BlocklyStyles.css                                                             | CSS        |         53 |          6 |         17 |         76 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\README.md                                             | Markdown   |         50 |          0 |         28 |         78 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\blockly.js                                            | JavaScript |         11 |          9 |          3 |         23 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\blockly.min.js                                        | JavaScript |      2,560 |         20 |         17 |      2,597 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\blockly_compressed.js                                 | JavaScript |      1,583 |          7 |          4 |      1,594 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\blocks.d.ts                                           | TypeScript |         10 |          5 |          3 |         18 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\blocks.js                                             | JavaScript |         11 |          9 |          3 |         23 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\blocks_compressed.js                                  | JavaScript |        224 |          3 |          4 |        231 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\browser.js                                            | JavaScript |         13 |         13 |          5 |         31 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\closure\goog\base.d.ts                                | TypeScript |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\closure\goog\base_minimal.d.ts                        | TypeScript |          2 |         17 |          0 |         19 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\closure\goog\goog.d.ts                                | TypeScript |          2 |         24 |          0 |         26 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core-browser.js                                       | JavaScript |         12 |         11 |          5 |         28 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core.d.ts                                             | TypeScript |          1 |          5 |          2 |          8 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core.js                                               | JavaScript |          9 |         13 |          6 |         28 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\any_aliases.d.ts                                 | TypeScript |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\block.d.ts                                       | TypeScript |        171 |        713 |          0 |        884 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\block_animations.d.ts                            | TypeScript |          5 |         33 |          0 |         38 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\block_drag_surface.d.ts                          | TypeScript |         22 |        113 |          0 |        135 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\block_dragger.d.ts                               | TypeScript |         41 |        117 |          0 |        158 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\block_svg.d.ts                                   | TypeScript |        129 |        533 |          0 |        662 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\blockly.d.ts                                     | TypeScript |        324 |        232 |          0 |        556 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\blockly_options.d.ts                             | TypeScript |         61 |         11 |          0 |         72 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\blocks.d.ts                                      | TypeScript |          4 |         15 |          0 |         19 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\browser_events.d.ts                              | TypeScript |         11 |         81 |          0 |         92 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\bubble.d.ts                                      | TypeScript |         68 |        241 |          0 |        309 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\bubble_dragger.d.ts                              | TypeScript |         19 |         61 |          0 |         80 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\bump_objects.d.ts                                | TypeScript |          9 |         29 |          0 |         38 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\clipboard.d.ts                                   | TypeScript |         11 |         35 |          0 |         46 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\comment.d.ts                                     | TypeScript |         32 |         87 |          0 |        119 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\common.d.ts                                      | TypeScript |         33 |        122 |          0 |        155 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\component_manager.d.ts                           | TypeScript |         35 |         66 |          0 |        101 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\config.d.ts                                      | TypeScript |         10 |         14 |          0 |         24 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\connection.d.ts                                  | TypeScript |         54 |        208 |          0 |        262 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\connection_checker.d.ts                          | TypeScript |         12 |         75 |          0 |         87 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\connection_db.d.ts                               | TypeScript |         19 |         83 |          0 |        102 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\connection_type.d.ts                             | TypeScript |          6 |         11 |          0 |         17 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\constants.d.ts                                   | TypeScript |          2 |         16 |          0 |         18 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\contextmenu.d.ts                                 | TypeScript |         13 |         77 |          0 |         90 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\contextmenu_items.d.ts                           | TypeScript |         14 |         78 |          0 |         92 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\contextmenu_registry.d.ts                        | TypeScript |         48 |         62 |          0 |        110 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\css.d.ts                                         | TypeScript |          2 |         25 |          0 |         27 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\delete_area.d.ts                                 | TypeScript |         10 |         41 |          0 |         51 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\dialog.d.ts                                      | TypeScript |         11 |         57 |          0 |         68 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\drag_target.d.ts                                 | TypeScript |         13 |         58 |          0 |         71 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\dropdowndiv.d.ts                                 | TypeScript |         47 |        144 |          0 |        191 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events.d.ts                               | TypeScript |        143 |          6 |          0 |        149 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_abstract.d.ts                      | TypeScript |         20 |         55 |          0 |         75 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_block_base.d.ts                    | TypeScript |         14 |         34 |          0 |         48 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_block_change.d.ts                  | TypeScript |         24 |         55 |          0 |         79 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_block_create.d.ts                  | TypeScript |         21 |         36 |          0 |         57 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_block_delete.d.ts                  | TypeScript |         23 |         36 |          0 |         59 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_block_drag.d.ts                    | TypeScript |         19 |         38 |          0 |         57 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_block_move.d.ts                    | TypeScript |         30 |         48 |          0 |         78 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_bubble_open.d.ts                   | TypeScript |         24 |         37 |          0 |         61 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_click.d.ts                         | TypeScript |         22 |         39 |          0 |         61 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_comment_base.d.ts                  | TypeScript |         17 |         40 |          0 |         57 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_comment_change.d.ts                | TypeScript |         18 |         46 |          0 |         64 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_comment_create.d.ts                | TypeScript |         15 |         39 |          0 |         54 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_comment_delete.d.ts                | TypeScript |         14 |         34 |          0 |         48 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_comment_move.d.ts                  | TypeScript |         22 |         55 |          0 |         77 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_marker_move.d.ts                   | TypeScript |         22 |         40 |          0 |         62 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_procedure_base.d.ts                | TypeScript |         12 |         14 |          0 |         26 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_procedure_change_return.d.ts       | TypeScript |         15 |         25 |          0 |         40 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_procedure_create.d.ts              | TypeScript |         14 |         20 |          0 |         34 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_procedure_delete.d.ts              | TypeScript |         12 |         20 |          0 |         32 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_procedure_enable.d.ts              | TypeScript |         14 |         20 |          0 |         34 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_procedure_parameter_base.d.ts      | TypeScript |         12 |         14 |          0 |         26 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_procedure_parameter_create.d.ts    | TypeScript |         18 |         24 |          0 |         42 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_procedure_parameter_delete.d.ts    | TypeScript |         16 |         25 |          0 |         41 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_procedure_parameter_rename.d.ts    | TypeScript |         16 |         20 |          0 |         36 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_procedure_rename.d.ts              | TypeScript |         15 |         20 |          0 |         35 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_selected.d.ts                      | TypeScript |         16 |         38 |          0 |         54 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_theme_change.d.ts                  | TypeScript |         14 |         35 |          0 |         49 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_toolbox_item_select.d.ts           | TypeScript |         16 |         38 |          0 |         54 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_trashcan_open.d.ts                 | TypeScript |         14 |         36 |          0 |         50 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_ui.d.ts                            | TypeScript |         12 |         29 |          0 |         41 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_ui_base.d.ts                       | TypeScript |          8 |         20 |          0 |         28 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_var_base.d.ts                      | TypeScript |         14 |         34 |          0 |         48 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_var_create.d.ts                    | TypeScript |         17 |         38 |          0 |         55 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_var_delete.d.ts                    | TypeScript |         17 |         38 |          0 |         55 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_var_rename.d.ts                    | TypeScript |         17 |         39 |          0 |         56 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\events_viewport.d.ts                      | TypeScript |         20 |         41 |          0 |         61 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\utils.d.ts                                | TypeScript |         67 |        264 |          0 |        331 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\events\workspace_events.d.ts                     | TypeScript |         13 |         28 |          0 |         41 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\extensions.d.ts                                  | TypeScript |         15 |        102 |          0 |        117 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\field.d.ts                                       | TypeScript |        118 |        520 |          0 |        638 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\field_angle.d.ts                                 | TypeScript |         52 |        148 |          0 |        200 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\field_checkbox.d.ts                              | TypeScript |         32 |        106 |          0 |        138 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\field_colour.d.ts                                | TypeScript |         54 |        163 |          0 |        217 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\field_dropdown.d.ts                              | TypeScript |         59 |        179 |          0 |        238 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\field_image.d.ts                                 | TypeScript |         36 |        109 |          0 |        145 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\field_input.d.ts                                 | TypeScript |         50 |        179 |          0 |        229 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\field_label.d.ts                                 | TypeScript |         18 |         59 |          0 |         77 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\field_label_serializable.d.ts                    | TypeScript |          7 |         38 |          0 |         45 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\field_multilineinput.d.ts                        | TypeScript |         31 |        131 |          0 |        162 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\field_number.d.ts                                | TypeScript |         34 |        141 |          0 |        175 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\field_registry.d.ts                              | TypeScript |         13 |         41 |          0 |         54 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\field_textinput.d.ts                             | TypeScript |         12 |         32 |          0 |         44 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\field_variable.d.ts                              | TypeScript |         49 |        192 |          0 |        241 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\flyout_base.d.ts                                 | TypeScript |        104 |        400 |          0 |        504 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\flyout_button.d.ts                               | TypeScript |         31 |         57 |          0 |         88 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\flyout_horizontal.d.ts                           | TypeScript |         22 |         68 |          0 |         90 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\flyout_metrics_manager.d.ts                      | TypeScript |         20 |         23 |          0 |         43 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\flyout_vertical.d.ts                             | TypeScript |         22 |         69 |          0 |         91 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\generator.d.ts                                   | TypeScript |         38 |        186 |          0 |        224 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\gesture.d.ts                                     | TypeScript |         89 |        379 |          0 |        468 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\grid.d.ts                                        | TypeScript |         17 |         70 |          0 |         87 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\icon.d.ts                                        | TypeScript |         26 |         65 |          0 |         91 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\inject.d.ts                                      | TypeScript |          3 |         14 |          0 |         17 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\input.d.ts                                       | TypeScript |         37 |        107 |          0 |        144 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\input_types.d.ts                                 | TypeScript |          5 |         11 |          0 |         16 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\insertion_marker_manager.d.ts                    | TypeScript |         48 |        199 |          0 |        247 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_ast_node_location.d.ts              | TypeScript |          2 |         11 |          0 |         13 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_ast_node_location_svg.d.ts          | TypeScript |          5 |         21 |          0 |         26 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_ast_node_location_with_block.d.ts   | TypeScript |          5 |         16 |          0 |         21 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_autohideable.d.ts                   | TypeScript |          4 |         17 |          0 |         21 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_block_dragger.d.ts                  | TypeScript |          9 |         40 |          0 |         49 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_bounded_element.d.ts                | TypeScript |          5 |         23 |          0 |         28 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_bubble.d.ts                         | TypeScript |         14 |         54 |          0 |         68 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_collapsible_toolbox_item.d.ts       | TypeScript |          7 |         23 |          0 |         30 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_component.d.ts                      | TypeScript |          3 |         16 |          0 |         19 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_connection_checker.d.ts             | TypeScript |         10 |         67 |          0 |         77 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_contextmenu.d.ts                    | TypeScript |          3 |         12 |          0 |         15 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_copyable.d.ts                       | TypeScript |         13 |         13 |          0 |         26 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_deletable.d.ts                      | TypeScript |          3 |         16 |          0 |         19 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_delete_area.d.ts                    | TypeScript |          5 |         23 |          0 |         28 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_drag_target.d.ts                    | TypeScript |         11 |         50 |          0 |         61 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_draggable.d.ts                      | TypeScript |          3 |         11 |          0 |         14 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_flyout.d.ts                         | TypeScript |         34 |        116 |          0 |        150 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_keyboard_accessible.d.ts            | TypeScript |          4 |         17 |          0 |         21 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_metrics_manager.d.ts                | TypeScript |         15 |        114 |          0 |        129 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_movable.d.ts                        | TypeScript |          3 |         16 |          0 |         19 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_observable.d.ts                     | TypeScript |          5 |         16 |          0 |         21 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_parameter_model.d.ts                | TypeScript |          9 |         28 |          0 |         37 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_positionable.d.ts                   | TypeScript |          7 |         24 |          0 |         31 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_procedure_block.d.ts                | TypeScript |          5 |          8 |          0 |         13 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_procedure_map.d.ts                  | TypeScript |          5 |         11 |          0 |         16 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_procedure_model.d.ts                | TypeScript |         14 |         43 |          0 |         57 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_registrable.d.ts                    | TypeScript |          2 |         11 |          0 |         13 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_selectable.d.ts                     | TypeScript |          7 |         13 |          0 |         20 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_selectable_toolbox_item.d.ts        | TypeScript |          9 |         40 |          0 |         49 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_serializer.d.ts                     | TypeScript |          7 |         40 |          0 |         47 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_styleable.d.ts                      | TypeScript |          4 |         21 |          0 |         25 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_toolbox.d.ts                        | TypeScript |         23 |         73 |          0 |         96 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_toolbox_item.d.ts                   | TypeScript |         12 |         60 |          0 |         72 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\internal_constants.d.ts                          | TypeScript |          5 |         41 |          0 |         46 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\keyboard_nav\ast_node.d.ts                       | TypeScript |         58 |        208 |          0 |        266 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\keyboard_nav\basic_cursor.d.ts                   | TypeScript |         15 |         84 |          0 |         99 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\keyboard_nav\cursor.d.ts                         | TypeScript |         10 |         37 |          0 |         47 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\keyboard_nav\marker.d.ts                         | TypeScript |         16 |         49 |          0 |         65 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\keyboard_nav\tab_navigate_cursor.d.ts            | TypeScript |          5 |         17 |          0 |         22 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\main.d.ts                                        | TypeScript |         11 |          1 |          0 |         12 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\marker_manager.d.ts                              | TypeScript |         21 |         75 |          0 |         96 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\menu.d.ts                                        | TypeScript |         37 |        131 |          0 |        168 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\menuitem.d.ts                                    | TypeScript |         28 |        105 |          0 |        133 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\metrics_manager.d.ts                             | TypeScript |         62 |        154 |          0 |        216 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\msg.d.ts                                         | TypeScript |          6 |         18 |          0 |         24 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\mutator.d.ts                                     | TypeScript |         36 |        108 |          0 |        144 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\names.d.ts                                       | TypeScript |         30 |        106 |          0 |        136 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\options.d.ts                                     | TypeScript |         81 |         63 |          0 |        144 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\positionable_helpers.d.ts                        | TypeScript |         23 |         73 |          0 |         96 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\procedures.d.ts                                  | TypeScript |         30 |         99 |          0 |        129 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\procedures\observable_parameter_model.d.ts       | TypeScript |         21 |         41 |          0 |         62 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\procedures\observable_procedure_map.d.ts         | TypeScript |         12 |         23 |          0 |         35 |
