Date : 2023-04-24 11:02:45
Directory : c:\xampp\htdocs\Blockimino
Total : 690 files,  98443 codes, 24355 comments, 4926 blanks, all 127724 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_draggable.d.ts                      | TypeScript |          3 |         11 |          0 |         14 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_flyout.d.ts                         | TypeScript |         34 |        116 |          0 |        150 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_keyboard_accessible.d.ts            | TypeScript |          4 |         17 |          0 |         21 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_metrics_manager.d.ts                | TypeScript |         15 |        114 |          0 |        129 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_movable.d.ts                        | TypeScript |          3 |         16 |          0 |         19 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_observable.d.ts                     | TypeScript |          5 |         16 |          0 |         21 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_parameter_model.d.ts                | TypeScript |          9 |         28 |          0 |         37 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_positionable.d.ts                   | TypeScript |          7 |         24 |          0 |         31 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_procedure_block.d.ts                | TypeScript |          5 |          8 |          0 |         13 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_procedure_map.d.ts                  | TypeScript |          5 |         11 |          0 |         16 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_procedure_model.d.ts                | TypeScript |         14 |         43 |          0 |         57 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_registrable.d.ts                    | TypeScript |          2 |         11 |          0 |         13 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_selectable.d.ts                     | TypeScript |          7 |         13 |          0 |         20 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_selectable_toolbox_item.d.ts        | TypeScript |          9 |         40 |          0 |         49 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_serializer.d.ts                     | TypeScript |          7 |         40 |          0 |         47 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_styleable.d.ts                      | TypeScript |          4 |         21 |          0 |         25 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_toolbox.d.ts                        | TypeScript |         23 |         73 |          0 |         96 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\interfaces\i_toolbox_item.d.ts                   | TypeScript |         12 |         60 |          0 |         72 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\internal_constants.d.ts                          | TypeScript |          5 |         41 |          0 |         46 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\keyboard_nav\ast_node.d.ts                       | TypeScript |         58 |        208 |          0 |        266 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\keyboard_nav\basic_cursor.d.ts                   | TypeScript |         15 |         84 |          0 |         99 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\keyboard_nav\cursor.d.ts                         | TypeScript |         10 |         37 |          0 |         47 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\keyboard_nav\marker.d.ts                         | TypeScript |         16 |         49 |          0 |         65 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\keyboard_nav\tab_navigate_cursor.d.ts            | TypeScript |          5 |         17 |          0 |         22 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\main.d.ts                                        | TypeScript |         11 |          1 |          0 |         12 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\marker_manager.d.ts                              | TypeScript |         21 |         75 |          0 |         96 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\menu.d.ts                                        | TypeScript |         37 |        131 |          0 |        168 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\menuitem.d.ts                                    | TypeScript |         28 |        105 |          0 |        133 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\metrics_manager.d.ts                             | TypeScript |         62 |        154 |          0 |        216 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\msg.d.ts                                         | TypeScript |          6 |         18 |          0 |         24 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\mutator.d.ts                                     | TypeScript |         36 |        108 |          0 |        144 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\names.d.ts                                       | TypeScript |         30 |        106 |          0 |        136 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\options.d.ts                                     | TypeScript |         81 |         63 |          0 |        144 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\positionable_helpers.d.ts                        | TypeScript |         23 |         73 |          0 |         96 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\procedures.d.ts                                  | TypeScript |         30 |         99 |          0 |        129 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\procedures\observable_parameter_model.d.ts       | TypeScript |         21 |         41 |          0 |         62 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\procedures\observable_procedure_map.d.ts         | TypeScript |         12 |         23 |          0 |         35 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\procedures\observable_procedure_model.d.ts       | TypeScript |         26 |         49 |          0 |         75 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\procedures\update_procedures.d.ts                | TypeScript |          2 |         11 |          0 |         13 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\registry.d.ts                                    | TypeScript |         48 |        100 |          0 |        148 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\rendered_connection.d.ts                         | TypeScript |         49 |        164 |          0 |        213 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\common\block_rendering.d.ts            | TypeScript |         67 |         38 |          0 |        105 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\common\constants.d.ts                  | TypeScript |        179 |        313 |          0 |        492 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\common\debug.d.ts                      | TypeScript |          3 |         29 |          0 |         32 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\common\debugger.d.ts                   | TypeScript |         34 |         97 |          0 |        131 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\common\drawer.d.ts                     | TypeScript |         37 |        108 |          0 |        145 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\common\i_path_object.d.ts              | TypeScript |         24 |        114 |          0 |        138 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\common\info.d.ts                       | TypeScript |         55 |        156 |          0 |        211 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\common\marker_svg.d.ts                 | TypeScript |         54 |        197 |          0 |        251 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\common\path_object.d.ts                | TypeScript |         30 |        136 |          0 |        166 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\common\renderer.d.ts                   | TypeScript |         38 |        140 |          0 |        178 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\geras\constants.d.ts                   | TypeScript |          9 |         18 |          0 |         27 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\geras\drawer.d.ts                      | TypeScript |         25 |         21 |          0 |         46 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\geras\geras.d.ts                       | TypeScript |         10 |          2 |          0 |         12 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\geras\highlight_constants.d.ts         | TypeScript |         48 |         63 |          0 |        111 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\geras\highlighter.d.ts                 | TypeScript |         32 |         77 |          0 |        109 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\geras\info.d.ts                        | TypeScript |         22 |         26 |          0 |         48 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\geras\measurables\inline_input.d.ts    | TypeScript |          8 |         17 |          0 |         25 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\geras\measurables\statement_input.d.ts | TypeScript |          8 |         17 |          0 |         25 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\geras\path_object.d.ts                 | TypeScript |         19 |         31 |          0 |         50 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\geras\renderer.d.ts                    | TypeScript |         23 |         56 |          0 |         79 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\measurables\base.d.ts                  | TypeScript |         11 |         18 |          0 |         29 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\measurables\bottom_row.d.ts            | TypeScript |         16 |         51 |          0 |         67 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\measurables\connection.d.ts            | TypeScript |          9 |         18 |          0 |         27 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\measurables\external_value_input.d.ts  | TypeScript |         11 |         17 |          0 |         28 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\measurables\field.d.ts                 | TypeScript |         13 |         18 |          0 |         31 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\measurables\hat.d.ts                   | TypeScript |          6 |         16 |          0 |         22 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\measurables\icon.d.ts                  | TypeScript |          9 |         20 |          0 |         29 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\measurables\in_row_spacer.d.ts         | TypeScript |          5 |         17 |          0 |         22 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\measurables\inline_input.d.ts          | TypeScript |          8 |         17 |          0 |         25 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\measurables\input_connection.d.ts      | TypeScript |         14 |         17 |          0 |         31 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\measurables\input_row.d.ts             | TypeScript |          8 |         25 |          0 |         33 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\measurables\jagged_edge.d.ts           | TypeScript |          5 |         16 |          0 |         21 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\measurables\next_connection.d.ts       | TypeScript |          6 |         18 |          0 |         24 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\measurables\output_connection.d.ts     | TypeScript |          9 |         18 |          0 |         27 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\measurables\previous_connection.d.ts   | TypeScript |          6 |         18 |          0 |         24 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\measurables\round_corner.d.ts          | TypeScript |          5 |         17 |          0 |         22 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\measurables\row.d.ts                   | TypeScript |         31 |        132 |          0 |        163 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\measurables\spacer_row.d.ts            | TypeScript |         13 |         17 |          0 |         30 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\measurables\square_corner.d.ts         | TypeScript |          5 |         17 |          0 |         22 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\measurables\statement_input.d.ts       | TypeScript |          6 |         17 |          0 |         23 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\measurables\top_row.d.ts               | TypeScript |         16 |         43 |          0 |         59 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\measurables\types.d.ts                 | TypeScript |         60 |        204 |          0 |        264 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\minimalist\constants.d.ts              | TypeScript |          4 |         12 |          0 |         16 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\minimalist\drawer.d.ts                 | TypeScript |          6 |         17 |          0 |         23 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\minimalist\info.d.ts                   | TypeScript |          8 |         26 |          0 |         34 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\minimalist\minimalist.d.ts             | TypeScript |          5 |          2 |          0 |          7 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\minimalist\renderer.d.ts               | TypeScript |         12 |         34 |          0 |         46 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\thrasos\info.d.ts                      | TypeScript |         15 |         26 |          0 |         41 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\thrasos\renderer.d.ts                  | TypeScript |          7 |         21 |          0 |         28 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\thrasos\thrasos.d.ts                   | TypeScript |          3 |          2 |          0 |          5 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\zelos\constants.d.ts                   | TypeScript |         91 |         82 |          0 |        173 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\zelos\drawer.d.ts                      | TypeScript |         19 |         31 |          0 |         50 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\zelos\info.d.ts                        | TypeScript |         38 |         55 |          0 |         93 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\zelos\marker_svg.d.ts                  | TypeScript |         19 |         32 |          0 |         51 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\zelos\measurables\bottom_row.d.ts      | TypeScript |          9 |         20 |          0 |         29 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\zelos\measurables\inputs.d.ts          | TypeScript |          7 |         17 |          0 |         24 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\zelos\measurables\row_elements.d.ts    | TypeScript |          7 |         16 |          0 |         23 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\zelos\measurables\top_row.d.ts         | TypeScript |          9 |         22 |          0 |         31 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\zelos\path_object.d.ts                 | TypeScript |         24 |         60 |          0 |         84 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\zelos\renderer.d.ts                    | TypeScript |         26 |         56 |          0 |         82 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\renderers\zelos\zelos.d.ts                       | TypeScript |         11 |          2 |          0 |         13 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\scrollbar.d.ts                                   | TypeScript |         63 |        275 |          0 |        338 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\scrollbar_pair.d.ts                              | TypeScript |         23 |         96 |          0 |        119 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\serialization.d.ts                               | TypeScript |          9 |          6 |          0 |         15 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\serialization\blocks.d.ts                        | TypeScript |         56 |         86 |          0 |        142 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\serialization\exceptions.d.ts                    | TypeScript |         22 |         56 |          0 |         78 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\serialization\priorities.d.ts                    | TypeScript |          3 |         19 |          0 |         22 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\serialization\procedures.d.ts                    | TypeScript |         34 |         68 |          0 |        102 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\serialization\registry.d.ts                      | TypeScript |          3 |         20 |          0 |         23 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\serialization\variables.d.ts                     | TypeScript |         14 |         35 |          0 |         49 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\serialization\workspaces.d.ts                    | TypeScript |          9 |         22 |          0 |         31 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\shortcut_items.d.ts                              | TypeScript |         17 |         54 |          0 |         71 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\shortcut_registry.d.ts                           | TypeScript |         46 |        121 |          0 |        167 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\sprites.d.ts                                     | TypeScript |          5 |         12 |          0 |         17 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\theme.d.ts                                       | TypeScript |         76 |         77 |          0 |        153 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\theme\classic.d.ts                               | TypeScript |          2 |         12 |          0 |         14 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\theme\themes.d.ts                                | TypeScript |          3 |          6 |          0 |          9 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\theme\zelos.d.ts                                 | TypeScript |          2 |         11 |          0 |         13 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\theme_manager.d.ts                               | TypeScript |         25 |         65 |          0 |         90 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\toolbox\category.d.ts                            | TypeScript |         71 |        196 |          0 |        267 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\toolbox\collapsible_category.d.ts                | TypeScript |         43 |         55 |          0 |         98 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\toolbox\separator.d.ts                           | TypeScript |         19 |         23 |          0 |         42 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\toolbox\toolbox.d.ts                             | TypeScript |         89 |        311 |          0 |        400 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\toolbox\toolbox_item.d.ts                        | TypeScript |         24 |         71 |          0 |         95 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\tooltip.d.ts                                     | TypeScript |         22 |        125 |          0 |        147 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\touch.d.ts                                       | TypeScript |         23 |        105 |          0 |        128 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\trashcan.d.ts                                    | TypeScript |         52 |        164 |          0 |        216 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils.d.ts                                       | TypeScript |         46 |        135 |          0 |        181 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\aria.d.ts                                  | TypeScript |         33 |         38 |          0 |         71 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\array.d.ts                                 | TypeScript |          1 |         15 |          0 |         16 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\colour.d.ts                                | TypeScript |         13 |        101 |          0 |        114 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\coordinate.d.ts                            | TypeScript |         13 |         69 |          0 |         82 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\deprecation.d.ts                           | TypeScript |          1 |         18 |          0 |         19 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\dom.d.ts                                   | TypeScript |         30 |        158 |          0 |        188 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\idgenerator.d.ts                           | TypeScript |          5 |         30 |          0 |         35 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\keycodes.d.ts                              | TypeScript |        122 |         16 |          0 |        138 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\math.d.ts                                  | TypeScript |          3 |         31 |          0 |         34 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\metrics.d.ts                               | TypeScript |         23 |         42 |          0 |         65 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\object.d.ts                                | TypeScript |          4 |         39 |          0 |         43 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\parsing.d.ts                               | TypeScript |          7 |         48 |          0 |         55 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\rect.d.ts                                  | TypeScript |          9 |         31 |          0 |         40 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\sentinel.d.ts                              | TypeScript |          2 |         11 |          0 |         13 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\size.d.ts                                  | TypeScript |          6 |         23 |          0 |         29 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\string.d.ts                                | TypeScript |          6 |         56 |          0 |         62 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\style.d.ts                                 | TypeScript |         16 |         93 |          0 |        109 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\svg.d.ts                                   | TypeScript |         28 |         43 |          0 |         71 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\svg_math.d.ts                              | TypeScript |         13 |         56 |          0 |         69 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\svg_paths.d.ts                             | TypeScript |          8 |        103 |          0 |        111 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\toolbox.d.ts                               | TypeScript |         90 |        124 |          0 |        214 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\useragent.d.ts                             | TypeScript |          8 |         14 |          0 |         22 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\utils\xml.d.ts                                   | TypeScript |         20 |         82 |          0 |        102 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\variable_map.d.ts                                | TypeScript |         26 |        132 |          0 |        158 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\variable_model.d.ts                              | TypeScript |         11 |         32 |          0 |         43 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\variables.d.ts                                   | TypeScript |         24 |        172 |          0 |        196 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\variables_dynamic.d.ts                           | TypeScript |         13 |         45 |          0 |         58 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\warning.d.ts                                     | TypeScript |         16 |         39 |          0 |         55 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\widgetdiv.d.ts                                   | TypeScript |         10 |         68 |          0 |         78 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\workspace.d.ts                                   | TypeScript |         89 |        351 |          0 |        440 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\workspace_audio.d.ts                             | TypeScript |         11 |         42 |          0 |         53 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\workspace_comment.d.ts                           | TypeScript |         44 |        148 |          0 |        192 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\workspace_comment_svg.d.ts                       | TypeScript |         81 |        292 |          0 |        373 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\workspace_drag_surface_svg.d.ts                  | TypeScript |         12 |         62 |          0 |         74 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\workspace_dragger.d.ts                           | TypeScript |         13 |         41 |          0 |         54 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\workspace_svg.d.ts                               | TypeScript |        205 |        819 |          0 |      1,024 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\xml.d.ts                                         | TypeScript |         17 |        115 |          0 |        132 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\core\zoom_controls.d.ts                               | TypeScript |         37 |        103 |          0 |        140 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\dart.d.ts                                             | TypeScript |          1 |          5 |          2 |          8 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\dart.js                                               | JavaScript |         11 |          9 |          3 |         23 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\dart_compressed.js                                    | JavaScript |        390 |         12 |          4 |        406 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\index.d.ts                                            | TypeScript |          4 |          5 |          2 |         11 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\index.js                                              | JavaScript |         11 |         11 |          3 |         25 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\javascript.d.ts                                       | TypeScript |          1 |          5 |          2 |          8 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\javascript.js                                         | JavaScript |         11 |         10 |          3 |         24 |
| c:\xampp\htdocs\Blockimino\Libraries\LibreriasBlocklyOficial\javascript_compressed.js                              | JavaScript |        319 |          8 |          4 |        331 |
